
role,skills,experience
Data Analyst,"Python, SQL, Excel",1
ML Engineer,"Python, Machine Learning, NLP",2
Data Scientist,"Python, Statistics, Machine Learning",2
Data Engineer,"Python, SQL, Spark",2
NLP Engineer,"Python, NLP, Transformers",3
Software Engineer,"Python, SQL, Git, Data Structures, Algorithms",0
Software Developer,"Python, SQL, Git, Data Structures, Algorithms",0
Junior Software Engineer,"Python, SQL, Git, Data Structures, Algorithms",0
Senior Software Engineer,"Java, OOP, Spring Boot, SQL, Git",1
Backend Developer,"C++, OOP, Linux, Git, Algorithms",1
Senior Backend Engineer,"TypeScript, Node.js, React, REST API, Git",2
Frontend Developer,"Python, SQL, Git, Data Structures, Algorithms",0
Senior Frontend Engineer,"Java, OOP, Spring Boot, SQL, Git",1
Full Stack Developer,"C++, OOP, Linux, Git, Algorithms",1
Senior Full Stack Engineer,"TypeScript, Node.js, React, REST API, Git",2
Python Developer,"Python, SQL, Git, Data Structures, Algorithms",3
Java Developer,"Java, OOP, Spring Boot, SQL, Git",4
C++ Developer,"JavaScript, React, HTML, CSS, Git",5
C# Developer,"C++, OOP, Linux, Git, Algorithms",6
Go Developer,"TypeScript, Node.js, React, REST API, Git",0
Rust Developer,"Python, SQL, Git, Data Structures, Algorithms",1
Scala Developer,"Java, OOP, Spring Boot, SQL, Git",2
Kotlin Developer,"JavaScript, React, HTML, CSS, Git",3
TypeScript Developer,"C++, OOP, Linux, Git, Algorithms",4
API Developer,"TypeScript, Node.js, React, REST API, Git",5
Microservices Developer,"Python, SQL, Git, Data Structures, Algorithms",6
Distributed Systems Engineer,"Java, OOP, Spring Boot, SQL, Git",0
Platform Engineer,"JavaScript, React, HTML, CSS, Git",1
Application Engineer,"C++, OOP, Linux, Git, Algorithms",2
Integration Engineer,"TypeScript, Node.js, React, REST API, Git",3
Systems Software Engineer,"Python, SQL, Git, Data Structures, Algorithms",4
Compiler Engineer,"Java, OOP, Spring Boot, SQL, Git",5
SDK Engineer,"JavaScript, React, HTML, CSS, Git",6
Software Architect,"C++, OOP, Linux, Git, Algorithms",0
Solutions Architect,"TypeScript, Node.js, React, REST API, Git",1
Enterprise Architect,"Python, SQL, Git, Data Structures, Algorithms",2
Technical Architect,"Java, OOP, Spring Boot, SQL, Git",3
Web Developer,"JavaScript, React, HTML, CSS, Git",4
Web Application Developer,"C++, OOP, Linux, Git, Algorithms",5
JavaScript Developer,"TypeScript, Node.js, React, REST API, Git",6
React Developer,"Python, SQL, Git, Data Structures, Algorithms",0
Angular Developer,"Java, OOP, Spring Boot, SQL, Git",1
Vue.js Developer,"JavaScript, React, HTML, CSS, Git",2
Next.js Developer,"C++, OOP, Linux, Git, Algorithms",3
Node.js Developer,"TypeScript, Node.js, React, REST API, Git",4
Django Developer,"Python, SQL, Git, Data Structures, Algorithms",5
Flask Developer,"Java, OOP, Spring Boot, SQL, Git",6
FastAPI Developer,"JavaScript, React, HTML, CSS, Git",0
Spring Boot Developer,"C++, OOP, Linux, Git, Algorithms",1
Laravel Developer,"TypeScript, Node.js, React, REST API, Git",2
WordPress Developer,"Python, SQL, Git, Data Structures, Algorithms",3
UI Engineer,"Java, OOP, Spring Boot, SQL, Git",4
Web Performance Engineer,"JavaScript, React, HTML, CSS, Git",5
Accessibility Engineer,"C++, OOP, Linux, Git, Algorithms",6
Data Analyst,"Python, SQL, Pandas, Statistics, Machine Learning",0
Senior Data Analyst,"Python, SQL, Spark, ETL, Airflow",1
Business Intelligence Analyst,"SQL, Power BI, Excel, Statistics, Tableau",2
BI Developer,"SQL, Power BI, Excel, Statistics, Tableau",3
Senior Data Scientist,"Python, PyTorch, Deep Learning, NumPy, Machine Learning",4
Junior Data Scientist,"Python, SQL, Pandas, Statistics, Machine Learning",5
Analytics Engineer,"Python, SQL, Spark, ETL, Airflow",6
Machine Learning Engineer,"Python, PyTorch, Deep Learning, NumPy, Machine Learning",0
Senior ML Engineer,"Python, LLMs, RAG, APIs, Vector Databases",1
AI Engineer,"Python, PyTorch, Deep Learning, NumPy, Machine Learning",2
Senior AI Engineer,"Python, LLMs, RAG, APIs, Vector Databases",3
AI Developer,"Python, SQL, Pandas, Statistics, Machine Learning",4
Generative AI Engineer,"Python, LLMs, RAG, APIs, Vector Databases",5
LLM Engineer,"Python, LLMs, RAG, APIs, Vector Databases",6
Machine Learning Researcher,"Python, PyTorch, Deep Learning, NumPy, Machine Learning",0
Deep Learning Engineer,"Python, PyTorch, Deep Learning, NumPy, Machine Learning",1
Computer Vision Engineer,"Python, PyTorch, Deep Learning, NumPy, Machine Learning",2
MLOps Engineer,"Python, SQL, Spark, ETL, Airflow",3
AI Research Engineer,"Python, PyTorch, Deep Learning, NumPy, Machine Learning",4
Data Mining Engineer,"Python, SQL, Pandas, Statistics, Machine Learning",5
Quantitative Analyst,"Python, SQL, Pandas, Statistics, Machine Learning",6
Quantitative Developer,"Python, SQL, Pandas, Statistics, Machine Learning",0
Data Visualization Developer,"SQL, Power BI, Excel, Statistics, Tableau",1
Data Quality Engineer,"Python, SQL, Pandas, Statistics, Machine Learning",2
Data Governance Analyst,"SQL, Power BI, Excel, Statistics, Tableau",3
Data Warehouse Developer,"Python, SQL, Spark, ETL, Airflow",4
ETL Developer,"Python, SQL, Spark, ETL, Airflow",5
Big Data Engineer,"Python, SQL, Spark, ETL, Airflow",6
Spark Developer,"Python, SQL, Spark, ETL, Airflow",0
Hadoop Engineer,"Python, SQL, Spark, ETL, Airflow",1
Streaming Data Engineer,"Python, SQL, Spark, ETL, Airflow",2
Database Developer,"Python, SQL, Pandas, Statistics, Machine Learning",3
Database Engineer,"Python, SQL, Spark, ETL, Airflow",4
Database Administrator,"SQL, Power BI, Excel, Statistics, Tableau",5
Cloud Data Engineer,"Python, SQL, Spark, ETL, Airflow",6
Data Platform Engineer,"Python, SQL, Spark, ETL, Airflow",0
AI Product Engineer,"Python, LLMs, RAG, APIs, Vector Databases",1
AI Solutions Architect,"Python, LLMs, RAG, APIs, Vector Databases",2
Machine Learning Platform Engineer,"Python, PyTorch, Deep Learning, NumPy, Machine Learning",3
AI Infrastructure Engineer,"Python, LLMs, RAG, APIs, Vector Databases",4
AI Operations Engineer,"Python, SQL, Spark, ETL, Airflow",5
Prompt Engineer,"Python, LLMs, RAG, APIs, Vector Databases",6
RAG Engineer,"Python, LLMs, RAG, APIs, Vector Databases",0
AI Evaluation Engineer,"Python, LLMs, RAG, APIs, Vector Databases",1
AI Safety Engineer,"Python, PyTorch, Deep Learning, NumPy, Machine Learning",2
Responsible AI Analyst,"Python, LLMs, RAG, APIs, Vector Databases",3
ML Data Engineer,"Python, SQL, Spark, ETL, Airflow",4
Feature Engineering Specialist,"Python, PyTorch, Deep Learning, NumPy, Machine Learning",5
Recommendation Systems Engineer,"Python, PyTorch, Deep Learning, NumPy, Machine Learning",6
Search Engineer,"Python, SQL, Spark, ETL, Airflow",0
Computer Vision Research Engineer,"Python, PyTorch, Deep Learning, NumPy, Machine Learning",1
NLP Research Engineer,"Python, PyTorch, Deep Learning, NumPy, Machine Learning",2
Speech AI Engineer,"Python, PyTorch, Deep Learning, NumPy, Machine Learning",3
AI Agent Engineer,"Python, LLMs, RAG, APIs, Vector Databases",4
Data Privacy Engineer,"Python, SQL, Privacy, Security, Data Governance",2
Data Security Engineer,"SQL, Python, Encryption, IAM, Cloud Security",3
Database Reliability Engineer,"PostgreSQL, MySQL, Linux, Monitoring, Backup",3
SQL Developer,"SQL, PostgreSQL, MySQL, Database Design, ETL",1
PostgreSQL Engineer,"PostgreSQL, SQL, Linux, Performance Tuning, Backup",2
MySQL Engineer,"MySQL, SQL, Linux, Replication, Backup",2
NoSQL Engineer,"MongoDB, Redis, DynamoDB, Python, Data Modeling",2
MongoDB Developer,"MongoDB, Node.js, JavaScript, APIs, Git",1
Redis Engineer,"Redis, Python, Linux, Caching, Databases",2
Database Performance Engineer,"SQL, PostgreSQL, MySQL, Performance Tuning, Linux",3
DevOps Engineer,"Linux, Docker, Kubernetes, Git, CI/CD",2
Senior DevOps Engineer,"Linux, Kubernetes, Terraform, Docker, AWS, CI/CD",5
Junior DevOps Engineer,"Linux, Git, Docker, CI/CD, Bash",0
Cloud Engineer,"AWS, Linux, Terraform, Docker, Networking",2
Senior Cloud Engineer,"AWS, Azure, Kubernetes, Terraform, Linux",5
AWS Cloud Engineer,"AWS, EC2, S3, IAM, VPC, Terraform",2
Azure Cloud Engineer,"Azure, Azure DevOps, Terraform, Networking, Linux",2
Google Cloud Engineer,"GCP, Kubernetes, Terraform, Linux, Networking",2
Cloud Architect,"AWS, Azure, Kubernetes, Terraform, System Design",6
